id,code,name,owner,created_at,created_by,updated_at,updated_by,country_id
14,gb,Gobil Phils New,dinhnguyen,2020-08-19 17:38:48.792000 +07:00,dinhnguyen,2020-08-19 17:38:48.792000 +07:00,dinhnguyen,2484
7,TB_Team,Táo bạo team,diepanh,2018-12-04 16:21:12.473000 +07:00,dinhnguyen,2018-12-04 16:21:12.473000 +07:00,dinhnguyen,2484
6,gobiz,Gobiz Test,diepanh,2018-12-03 16:57:42.890000 +07:00,dinhnguyen,2018-12-03 16:57:42.890000 +07:00,dinhnguyen,2484
1,FR,FinRetail,dinhnguyen,2018-11-26 10:41:16.201016 +07:00,migrate_script,2018-11-26 17:42:47.434000 +07:00,migrate_script,2484
2,SB,SmartBuy,dohuyentrang183,2018-11-26 10:41:16.201016 +07:00,migrate_script,2018-11-26 17:42:51.061000 +07:00,migrate_script,2484
11,kys,KYS,nguyenthithuha,2020-01-20 10:22:26.843000 +07:00,dinhnguyen,2020-01-20 10:22:26.843000 +07:00,dinhnguyen,2484
839,TPG.PH,TPG Philippines,nguyenthanhhieu,2021-08-09 09:34:09.606000 +07:00,nguyenthanhhieu,,,2484
116,CPO.PH,CPO Philippines,nguyenthanhhieu,2021-01-05 11:34:37.312000 +07:00,nguyenthanhhieu,,,2484
117,AMZ.PH,AMZ Philippines,nguyenthanhhieu,2021-01-05 11:35:05.985000 +07:00,nguyenthanhhieu,,,2484
118,LZC.PH,LZC Philippines,nguyenthanhhieu,2021-01-05 11:35:42.277000 +07:00,nguyenthanhhieu,,,2484
115,SWA.PH,SWASDI Philippines,nguyenthanhhieu,2021-01-05 11:33:15.244000 +07:00,nguyenthanhhieu,,,2484
119,BLW.PH,BLW Philippines,nguyenthanhhieu,2021-01-05 11:57:12.306000 +07:00,nguyenthanhhieu,,,2484
179,WAR.PH,WAR Philippines,nguyenthanhhieu,2021-02-01 11:47:19.224000 +07:00,nguyenthanhhieu,,,2484
