vendro,product,created_by,updated_by
MMY.19,MY1909017,system,system
MMY.22,MY2209010,system,system
MPH.12,PH1209019,system,system
MMY.18,MY1809013,system,system
MMY.22,MY2209011,system,system
MKH.34,KH3409008,system,system
MID.01,ID0109025,system,system
MMY.35,MY2209011,system,system
MMY.25,MY25005014,system,system
MID.01,ID01090026,system,system
MMY.19,MY1901016,system,system
MPH.10,PH1009021,system,system
MMY.17,MY1709002,system,system
MKH.34,KH3403010,system,system
MPH.12,PH1203022,system,system
LZC.PH,LZC09187,system,system
MPH.26,PH2601008,system,system
MID.08,ID0809026,system,system
WAR.PH,PH2809034,system,system
MPH.07,PH0705007,system,system
MPH.06,PH0609009,system,system
MKH.34,KH09009,system,system
LZC.PH,LZC09188,system,system
MPH.07,PH2601008,system,system
MPH.44,PH4409004,system,system
MMY.25,MY2509015,system,system
MID.08,ID0804022,system,system
MPH.03,PH0309020,system,system
MTH.36,MTH360901,system,system
MTH.36,MTH360902,system,system
MID.08,ID0809025,system,system
MMY.25,MY1809013,system,system
BORA.PH,BORA09001,system,system
BORA.PH,BORA09002,system,system
undefined,undefined,system,system
