code,name,created_by,updated_by
PH1209019,G02 Turmeric Serum,system,system
KH3409008,G02 Pureyes Whitening Gel,system,system
ID0109025,G02 JAYSUING Esensi Anti Rambut Abu-abu,system,system
MY2209011,G03 Wart Remove Cream,system,system
LZC09187,LZC Dark Spot Cream,system,system
PH0705007,G01 Anti-Fog Glasses Cleaning Cloth,system,system
KH3409009,G02 EMS Socks Massage,system,system
KH09009,G02 EMS Socks Massage,system,system
MTH360901,GOUTTO,system,system
PH4409004,CN Nakiz Cream,system,system
MTH360902,Sinusitis,system,system
KH3403010,G02 Air Conditioner,system,system
PH0609009,G01 Bioaqua Rice Serum,system,system
LZC09188,LZC Electric Foot Grinder,system,system
MY2509015,G02 Instant Blemish Removal Gel,system,system
ID0804021,G03 MESIN LAS,system,system
ID0804022,G03 MESIN LAS,system,system
PH0309020,G02 Scar Gel,system,system
MY25005014,G02 Electric Lawn Mower 68V,system,system
ID0809025,G03 HUNMUI - PASTA GIGI,system,system
MY1809013,G02 Chia Seed Cereal,system,system
BORA09001,BORA Nordisk Urkraft,system,system
BORA09002,BORA Intensiv Urkraft,system,system
ID01090026,G02 EELHOE NAIL,system,system
MY1901016,G02 Changing UV Sunglasses,system,system
MY1909017,G02 Pore Primer Cream,system,system
PH1009021,G02 Scar Removal Cream,system,system
PH1203022,G02 Mini Shaver,system,system
ID0809026,G03 Lumbar Pain Relief Cream,system,system
MY2209010,G03 Silicon Waktur,system,system
PH2809034,G01 Neck Massage Sticker,system,system
PH2601008,G01 Photochromic Glasses,system,system
MY1709002,G01 Rice Serum,system,system
undefined,,system,system
