code,name,created_by,updated_by
gb,Gobil Phils New,system,system
TB_Team,Táo bạo team,system,system
gobiz,Gobiz Test,system,system
FR,FinRetail,system,system
SB,SmartBuy,system,system
kys,KYS,system,system
TPG.PH,TPG Philippines,system,system
CPO.PH,CPO Philippines,system,system
AMZ.PH,AMZ Philippines,system,system
LZC.PH,LZC Philippines,system,system
SWA.PH,SWASDI Philippines,system,system
BLW.PH,BLW Philippines,system,system
WAR.PH,WAR Philippines,system,system
HZT.PH,HZT Philippines,system,system
IPT.PH,IPT Philippines,system,system
ARN.PH,ARENA Philippines,system,system
ARN-AG.PH,ARN - Agency Philipines,system,system
TVH.PH,TVH Philippines,system,system
1M.PH,1M Philippines,system,system
gobizphil,Gobiz Dev Philipine,system,system
ARN-TWB.PH,ARN.PH - The Wonder Boys,system,system
ARN-BG.PH,ARN.PH - Big Goal,system,system
NTN.PH,NTN Philippines,system,system
1M$.VN,1M - VIFIBA Vietnam,system,system
AMZ.VN,AMZ - VIFIBA Vietnam,system,system
GVG.PH,GVG Philipines,system,system
CPO.VN,CPO - VIFIBA Vietnam,system,system
EZT.ID,EZT Indonesia,system,system
kaygroup,KayGroup,system,system
WAR.ID,WAR Indonesia,system,system
ARN.ID,Arena Indonesia,system,system
CPO.ID,CPO Indonesia,system,system
AMZ.ID,AMZ Indonesia,system,system
HZT.ID,HZT Indonesia,system,system
TVH.ID,TVH Indonesia,system,system
1M$.ID,1M$ Indonesia,system,system
vIndo,vIndo,system,system
EZTNEW.ID,EZT Indonesia_New,system,system
BLW.ID,BLW Indonesia,system,system
IN,InStyle,system,system
DVKH,DVKH,system,system
TFLO,T-FLO,system,system
taozai,Tao Zai Team,system,system
vpt_vn,Vòng phong thuỷ,system,system
t-flo,t-flo,system,system
1M.BEE.VN,1M - Superbee Vietnam,system,system
ezt-vn,EZT Vietnam,system,system
ezt-vn-lzc,EZT.VN - LZC,system,system
cong,cong,system,system
vthailand,vthailand,system,system
ARN-MN.TH,ARENA Thailand MN,system,system
ARN.TH,ARENA Thailand MB,system,system
DPN.TH,DPN Thailand,system,system
LZC.TH,LZC Thailand,system,system
EZT.TH,EZT Thailand,system,system
BWL.TH,BLW Thailand,system,system
CPO.TH,CPO Thailand,system,system
MPH.39,MPH.39 QUANG,system,system
ARN-BD.PH,ARN - BIG DREAM,system,system
IPT.ID,IPT Indonesia,system,system
AMZ.TH,AMZ Thailand,system,system
QT.PH,QT Philippines,system,system
R&D.ID,Vela R&D Indonesia,system,system
ARN06,ARN Inhouse HCM Philippines,system,system
WG.PH,WGLOBAL Philippines,system,system
WG.TH,WGLOBAL Thailand,system,system
R&D.PH,Vela R&D Philippines,system,system
WG.ID,WGLOBAL Indonesia,system,system
ARN-CTB.PH,CITY BOYS Philippines,system,system
WARLG.PH,WARPH Legend,system,system
WARVK.PH,WARPH Viking,system,system
WARTT.PH,WARPH Titans,system,system
FLASH.PH,FLASH Philippines,system,system
R&D.TH,R&D Thailand,system,system
EZ.ID,EZ Indonesia,system,system
BORA.TH,BORA Thailand,system,system
MPH-06,MPH-06 NGOC,system,system
OM.ID,OMUSE INDO,system,system
WARCHATBOX,WARPH.CHATBOX,system,system
MID.02,MID.02 NGHIA,system,system
MPH.11,MPH.11 TRAN,system,system
MPH.12,MPH.12 DUY,system,system
MTH.13,MTH.13 MINH,system,system
1234,vendor test,system,system
456,testA,system,system
5657,yen test,system,system
LZC.ID,LZC Indonesia,system,system
MID.08,MID.08 VUDUY,system,system
MID.01,MID.01 DUONG,system,system
MID.04,MID.04 HA,system,system
MPH.03,MPH.03 NGOC,system,system
MPH.05,MPH.05 TRANG,system,system
MPH.06,MPH.06 THAO,system,system
MPH.07,MPH.07 HIEN,system,system
MPH.09,MPH.09 PHUONG,system,system
MPH.10,MPH.10 MY,system,system
MTH.15,MTH.15 QUANG,system,system
BORA.LD.TH,ladycare group,system,system
OP Test,Operation Test,system,system
MMY.17,MMY.17 TRANG,system,system
MMY.18,MMY.18 NGOC,system,system
MMY.19,MMY.19 MY,system,system
MVN.16,MMY.16 R&D,system,system
vmycong,Vendor MalaySia Cong,system,system
